symbol,company,insider_name,category,quantity,value,type,trade_date,mode,exchange
SFL,Sheela Foam Limited,NILESH SEVABRATA MAJUMDAR,Key Managerial Personnel,1000.0,1000000,Buy,-,Market Purchase,BSE
SILVERTUC,Silver Touch Technologies Limited,Vipul Thakkar,Promoters,370.0,259394,Buy,31-Dec-2024,Market Purchase,NSE
ALMONDZ,Almondz Global Securities Limited,RAKAM INFRASTRUCTURES PVT LTD,Promoter Group,44873.0,1503246,Buy,31-Dec-2024,Market Purchase,BSE
ALMONDZ,Almondz Global Securities Limited,RAKAM INFRASTRUCTURES PVT LTD,Promoter Group,132383.0,4427331,Buy,31-Dec-2024,Market Purchase,NSE
POONAWALLA,Poonawalla Fincorp Limited,RISING SUN HOLDINGS PRIVATE LIMITED,Promoters,100000.0,32109702,Buy,27-Dec-2024,Market Purchase,NSE
TOKYOPLAST,Tokyo Plast International Limited,Priti Haresh Shah,Promoter Group,2283.0,289495,Buy,18-Dec-2024,Market Purchase,BSE
TOKYOPLAST,Tokyo Plast International Limited,Priti Haresh Shah,Promoter Group,7223.0,914977,Buy,18-Dec-2024,Market Purchase,NSE
FAIRCHEMOR,Fairchem Organics Limited,FIH Private Investments Ltd.,Promoter Group,13500.0,16987147,Buy,30-Dec-2024,Market Purchase,NSE
MADHUSUDAN,Madhusudan Masala Limited,RISHIT  KOTECHA,Promoters,10000.0,2120000,Buy,30-Dec-2024,Market Purchase,NSE
MADHUSUDAN,Madhusudan Masala Limited,Madhusudan Auto-Biz Private Limited,Promoter Group,6000.0,1272000,Buy,30-Dec-2024,Market Purchase,NSE
HITECH,Hi-Tech Pipes Limited,"MANOJ KUMAR GUPTA, TRUSTEE HI-TECH PIPES EMPLOYEES WELFARE TRUST",Other,11500.0,1850750,Buy,27-Dec-2024,Market Purchase,NSE
KRSNAA,Krsnaa Diagnostics Limited,Krsna Diagnostics (Mumbai) Private Limited,Promoter Group,22929.0,19968604,Buy,27-Dec-2024,Market Purchase,NSE
GAEL,Gujarat Ambuja Exports Limited,Nidhi Sandeep Agrawal,Immediate relative,1500.0,188620,Buy,26-Dec-2024,Market Purchase,NSE
SKP,Skp Bearing Industries Limited,PANKAJ PRAFULLAKUMAR PATIL,Promoter Group,7500.0,1886450,Buy,27-Dec-2024,Market Purchase,NSE
JASH,Jash Engineering Limited,Patamin Investments Pvt Ltd.,Promoter Group,13000.0,7561946,Buy,27-Dec-2024,Market Purchase,NSE
SILVERTUC,Silver Touch Technologies Limited,Vipul Thakkar,Promoters,240.0,168600,Buy,30-Dec-2024,Market Purchase,NSE
SILVERTUC,Silver Touch Technologies Limited,Vipul Thakkar,Promoters,100.0,69969,Buy,27-Dec-2024,Market Purchase,NSE
SILVERTUC,Silver Touch Technologies Limited,Vipul Thakkar,Promoters,900.0,628110,Buy,30-Dec-2024,Market Purchase,NSE
ALMONDZ,Almondz Global Securities Limited,RAKAM INFRASTRUCTURES PVT LTD,Promoter Group,43426.0,1454771,Buy,30-Dec-2024,Market Purchase,BSE
ALMONDZ,Almondz Global Securities Limited,RAKAM INFRASTRUCTURES PVT LTD,Promoter Group,200000.0,6650000,Buy,30-Dec-2024,Market Purchase,NSE
JINDRILL,Jindal Drilling And Industries Limited,Jindal Pipes Limited,Promoter Group,150000.0,113975136,Buy,26-Dec-2024,Market Purchase,NSE
JSL,Jindal Stainless Limited,JSL OVERSEAS HOLDING LTF,Promoter Group,16855.0,12220106,Buy,26-Dec-2024,Market Purchase,NSE
FAIRCHEMOR,Fairchem Organics Limited,FIH Private Investments Ltd.,Promoter Group,13500.0,16594698,Buy,27-Dec-2024,Market Purchase,NSE
SFL,Sheela Foam Limited,Rahul Gautam,Promoters,12182.0,12212830,Buy,-,Market Purchase,NSE
ADOR,Ador Welding Limited,VIMLA ASHDA LALVANI,Promoter Group,1093.0,1228482,Buy,23-Dec-2024,Market Purchase,BSE
ADOR,Ador Welding Limited,VIMLA ASHDA LALVANI,Promoter Group,1849.0,2084190,Buy,23-Dec-2024,Market Purchase,NSE
NCLIND,NCL Industries Limited,KALIDINDI GAUTAM,Director,5000.0,1138750,Buy,30-Dec-2024,Market Purchase,NSE
NCLIND,NCL Industries Limited,K.Pooja,Director,13500.0,3077325,Buy,30-Dec-2024,Market Purchase,NSE
MADHUSUDAN,Madhusudan Masala Limited,Madhusudan Auto-Biz Private Limited,Promoter Group,53000.0,11635996,Buy,27-Dec-2024,Market Purchase,NSE
MADHUSUDAN,Madhusudan Masala Limited,Madhusudan Auto-Biz Private Limited,Promoter Group,23000.0,4804649,Buy,26-Dec-2024,Market Purchase,NSE
MADHUSUDAN,Madhusudan Masala Limited,RISHIT  KOTECHA,Promoters,13000.0,2826460,Buy,27-Dec-2024,Market Purchase,NSE
ORIENTBELL,Orient Bell Limited,Mahendra K Daga,Promoters,27.0,8748,Buy,27-Dec-2024,Market Purchase,NSE
ORIENTBELL,Orient Bell Limited,Freesia Investment and Trading Company Limited,Promoter Group,3000.0,971499,Buy,27-Dec-2024,Market Purchase,NSE
SYMPHONY,Symphony Limited,DHRUVI JAGAT BAKERI,Other,150.0,200739,Buy,14-Nov-2024,Market Purchase,NSE
SYMPHONY,Symphony Limited,HARMONY HOLDINGS PRIVATE LIMITED,Promoter Group,100.0,133159,Buy,27-Dec-2024,Market Purchase,NSE
SYMPHONY,Symphony Limited,SCARLET LIVING PRIVATE LIMITED,Promoter Group,100.0,132985,Buy,27-Dec-2024,Market Purchase,NSE
NRBBEARING,NRB Bearing Limited,HARSHBEENA SAHNEY ZAVERI,Promoters,23600.0,6678732,Buy,27-Dec-2024,Market Purchase,NSE
ALKYLAMINE,Alkyl Amines Chemicals Limited,PURJEEKO TRADING & CONSULTANCY LLP,Promoter Group,5000.0,9374800,Buy,26-Dec-2024,Market Purchase,NSE
PANACEABIO,Panacea Biotec Limited,Rajesh Jain,Director,3000.0,1364700,Buy,26-Dec-2024,Market Purchase,NSE
NURECA,Nureca Limited,Aryan Goyal,Promoter Group,10000.0,2915135,Buy,27-Dec-2024,Market Purchase,NSE
ALMONDZ,Almondz Global Securities Limited,RAKAM INFRASTRUCTURES PVT LTD,Promoter Group,367.0,12111,Buy,26-Dec-2024,Market Purchase,BSE
ALMONDZ,Almondz Global Securities Limited,RAKAM INFRASTRUCTURES PVT LTD,Promoter Group,286703.0,9428199,Buy,27-Dec-2024,Market Purchase,NSE
ALMONDZ,Almondz Global Securities Limited,RAKAM INFRASTRUCTURES PVT LTD,Promoter Group,60512.0,1985396,Buy,27-Dec-2024,Market Purchase,BSE
ALMONDZ,Almondz Global Securities Limited,RAKAM INFRASTRUCTURES PVT LTD,Promoter Group,175000.0,5775000,Buy,26-Dec-2024,Market Purchase,NSE
NCC,NCC Limited,UDDARAJU RAMYA,Promoter Group,5400.0,1529100,Buy,26-Dec-2024,Market Purchase,NSE
ECLERX,eClerx Services Limited,Eclerx Employee Welfare Trust,Other,3088.0,10947556,Buy,26-Dec-2024,Market Purchase,NSE
GREENPLY,Greenply Industries Limited,KARUNA INVESTMENT PVT. LTD.,Promoter Group,31400.0,9953800,Buy,27-Dec-2024,Market Purchase,BSE
GREENPLY,Greenply Industries Limited,Sanidhya Mittal,Promoters,47300.0,14994100,Buy,27-Dec-2024,Market Purchase,BSE
GREENPLY,Greenply Industries Limited,Showan Investment Pvt. Ltd.,Promoter Group,62900.0,19939300,Buy,27-Dec-2024,Market Purchase,BSE
UGARSUGAR,The Ugar Sugar Works Limited,SHREEKANT VENKATARAMAN BHAT,Key Managerial Personnel,791.0,55999,Buy,27-Dec-2024,Market Purchase,NSE
UGARSUGAR,The Ugar Sugar Works Limited,CHANDAN SANJEEV SHIRGAOKAR,Promoters,205748.0,14510221,Buy,27-Dec-2024,Market Purchase,NSE
TARMAT,Tarmat Limited,Jerry Varghese,Promoters,6200.0,503258,Buy,26-Dec-2024,Market Purchase,NSE
REXPIPES,Rex Pipes And Cables Industries Limited,MRS. SUMAN GADWAL,Promoter Group,2000.0,146600,Buy,27-Dec-2024,Market Purchase,NSE
REXPIPES,Rex Pipes And Cables Industries Limited,MRS. SUMAN GADWAL,Promoter Group,2000.0,146600,Buy,27-Dec-2024,Market Purchase,NSE
FAIRCHEMOR,Fairchem Organics Limited,FIH Private Investments Ltd,Promoter Group,13500.0,16472246,Buy,26-Dec-2024,Market Purchase,NSE
INDGN,Indegene Limited,Manish Gupta,Director,17000.0,10186185,Buy,24-Dec-2024,Market Purchase,NSE
MANGLMCEM,Mangalam Cement Limited,Rambara Trading Private Limited,Promoter Group,180000.0,167599618,Buy,26-Dec-2024,Market Purchase,NSE
MANGLMCEM,Mangalam Cement Limited,MIGNONETTE CREATIONS PRIVATE LIMITED,Promoter Group,5000.0,4680999,Buy,27-Dec-2024,Market Purchase,NSE
MANGLMCEM,Mangalam Cement Limited,AVA TRADING AND CONSULTING PRIVATE LIMITED,Promoter Group,5000.0,4685000,Buy,27-Dec-2024,Market Purchase,NSE
YASHOPTICS,Yash Optics & Lens Limited,TARUN MANHARLAL DOSHI,Promoters,1600.0,140880,Buy,27-Dec-2024,Market Purchase,NSE
NCLIND,NCL Industries Limited,KALIDINDI GAUTAM,Director,10182.0,2186992,Buy,27-Dec-2024,Market Purchase,NSE
PKTEA,The Peria Karamalai Tea & Produce Company Limited,PLACID LIMITED,Promoter Group,2715.0,2072762,Buy,23-Dec-2024,Market Purchase,NSE
ORIENTBELL,Orient Bell Limited,Mahendra K Daga,Promoters,1979.0,646797,Buy,26-Dec-2024,Market Purchase,NSE
20MICRONS,20 Microns Limited,IONIX ADVANCED MATERIALS PRIVATE LIMITED,Promoter Group,1900.0,437000,Buy,26-Dec-2024,Market Purchase,NSE
UGARSUGAR,The Ugar Sugar Works Limited,CHANDAN SANJEEV SHIRGAOKAR,Promoters,95219.0,6615892,Buy,26-Dec-2024,Market Purchase,NSE
NCLIND,NCL Industries Limited,Kakatiya Industries (P) Ltd,Promoter Group,4200.0,892200,Buy,26-Dec-2024,Market Purchase,NSE
NCLIND,NCL Industries Limited,KALIDINDI RAVI,Director,685.0,145035,Buy,26-Dec-2024,Market Purchase,NSE
PAISALO,Paisalo Digital Limited,EQUILIBRATED VENTURE CFLOW PRIVATE LIMITED,Promoter Group,750213.0,39338956,Buy,27-Dec-2024,Market Purchase,NSE
SILVERTUC,Silver Touch Technologies Limited,Vipul Thakkar,Promoters,20.0,13529,Buy,24-Dec-2024,Market Purchase,BSE
SILVERTUC,Silver Touch Technologies Limited,Vipul Thakkar,Promoters,100.0,69345,Buy,26-Dec-2024,Market Purchase,BSE
SFL,Sheela Foam Limited,Rahul Gautam,Promoters,6107.0,5990510,Buy,-,Market Purchase,NSE
ECLERX,eClerx Services Limited,Eclerx Employee Welfare Trust,Other,3016.0,10947204,Buy,23-Dec-2024,Market Purchase,NSE
ECLERX,eClerx Services Limited,Eclerx Employee Welfare Trust,Other,3062.0,10948471,Buy,24-Dec-2024,Market Purchase,NSE
NCC,NCC Limited,UDDARAJU RAMYA,Promoter Group,100000.0,28336402,Buy,23-Dec-2024,Market Purchase,NSE
SHANKARA,Shankara Building Products Limited,Agfa CN,-,75.0,52482,Buy,26-Dec-2024,Market Purchase,NSE
JSL,Jindal Stainless Limited,JSL OVERSEAS HOLDING LTF,Promoter Group,1148056.0,837630456,Buy,23-Dec-2024,Market Purchase,NSE
LTFOODS,LT Foods Limited,Abhinav Arora,Promoter Group,1552.0,624059,Buy,27-Dec-2024,Market Purchase,NSE
SNOWMAN,Snowman Logistics Limited,GATEWAY DISTRIPARKS LIMITED,Promoters,1665284.0,125653338,Buy,24-Dec-2024,Market Purchase,NSE
HITECH,Hi-Tech Pipes Limited,"MANOJ KUMAR GUPTA, TRUSTEE HI-TECH PIPES EMPLOYEES WELFARE TRUST",Other,25000.0,3969860,Buy,23-Dec-2024,Market Purchase,NSE
NCLIND,NCL Industries Limited,Kakatiya Industries (P) Ltd,Promoter Group,1000.0,214000,Buy,24-Dec-2024,Market Purchase,NSE
RPGLIFE,RPG Life Sciences Limited,Nucleus Life Trust,Promoter Group,1800.0,3937250,Buy,24-Dec-2024,Market Purchase,NSE
FAIRCHEMOR,Fairchem Organics Limited,FIH Private Investments Ltd,Promoter Group,13000.0,16507589,Buy,24-Dec-2024,Market Purchase,NSE
MBAPL,Madhya Bharat Agro Products Limited,Pankaj Ostwal,Promoters,6323.0,1417272,Buy,23-Dec-2024,Market Purchase,NSE
BABAFP,Baba Food Processing (India) Limited,Amita Agrawal,-,8000.0,439360,Buy,16-Dec-2024,Market Purchase,NSE
BABAFP,Baba Food Processing (India) Limited,Amita Agrawal,-,19200.0,1070240,Buy,17-Dec-2024,Market Purchase,NSE
BABAFP,Baba Food Processing (India) Limited,Amita Agrawal,-,3200.0,180160,Buy,18-Dec-2024,Market Purchase,NSE
BABAFP,Baba Food Processing (India) Limited,Amita Agrawal,-,8000.0,447120,Buy,20-Dec-2024,Market Purchase,NSE
BABAFP,Baba Food Processing (India) Limited,Amita Agrawal,-,6400.0,388560,Buy,24-Dec-2024,Market Purchase,NSE
BABAFP,Baba Food Processing (India) Limited,Amita Agrawal,-,3200.0,166400,Buy,13-Dec-2024,Market Purchase,NSE
BABAFP,Baba Food Processing (India) Limited,Amita Agrawal,-,8000.0,416000,Buy,12-Dec-2024,Market Purchase,NSE
BABAFP,Baba Food Processing (India) Limited,Rajesh Agrawal,Director,4800.0,268240,Buy,20-Dec-2024,Market Purchase,NSE
BABAFP,Baba Food Processing (India) Limited,Rajesh Agrawal,Director,1600.0,88160,Buy,19-Dec-2024,Market Purchase,NSE
BABAFP,Baba Food Processing (India) Limited,Rajesh Agrawal,Director,1600.0,87360,Buy,18-Dec-2024,Market Purchase,NSE
BABAFP,Baba Food Processing (India) Limited,Rajesh Agrawal,Director,9600.0,545680,Buy,23-Dec-2024,Market Purchase,NSE
BABAFP,Baba Food Processing (India) Limited,Rajesh Agrawal,Director,12800.0,709200,Buy,16-Dec-2024,Market Purchase,NSE
BABAFP,Baba Food Processing (India) Limited,Bhagwati Prasad Agrawal,-,24000.0,1433220,Buy,24-Dec-2024,Market Purchase,NSE
BABAFP,Baba Food Processing (India) Limited,Rajesh Agrawal,Director,8000.0,414800,Buy,12-Dec-2024,Market Purchase,NSE
BABAFP,Baba Food Processing (India) Limited,Rajesh Agrawal,Director,16000.0,894000,Buy,17-Dec-2024,Market Purchase,NSE
KRISHANA,Krishana Phoschem Limited,PRAVEEN  OSTWAL,Promoters,16422.0,3322561,Buy,23-Dec-2024,Market Purchase,NSE
KRISHANA,Krishana Phoschem Limited,Pankaj Ostwal,Promoters,22100.0,4458284,Buy,23-Dec-2024,Market Purchase,NSE
KRISHANA,Krishana Phoschem Limited,MAHENDRA KUMAR OSTWAL,Promoters,19000.0,3859393,Buy,24-Dec-2024,Market Purchase,NSE
ORIENTBELL,Orient Bell Limited,Mahendra K Daga,Promoters,7184.0,2331287,Buy,24-Dec-2024,Market Purchase,NSE
ALMONDZ,Almondz Global Securities Limited,RAKAM INFRASTRUCTURES PVT LTD,Promoter Group,157645.0,5127215,Buy,24-Dec-2024,Market Purchase,NSE
NCLIND,NCL Industries Limited,KALIDINDI RAVI,Director,1000.0,212250,Buy,23-Dec-2024,Market Purchase,NSE
NCLIND,NCL Industries Limited,Kakatiya Industries (P) Ltd,Promoter Group,6000.0,1273980,Buy,23-Dec-2024,Market Purchase,NSE
KPIGREEN,KPI Green Energy Limited,Farukbhai Gulambhai Patel,Promoters,6300.0,5020000,Buy,24-Dec-2024,Market Purchase,NSE
ECLERX,eClerx Services Limited,Eclerx Employee Welfare Trust,Other,2924.0,10946973,Buy,20-Dec-2024,Market Purchase,NSE
EXCELLENT,Excellent Wires and Packaging Limited,Ankita Rachit Masalia,Promoter Group,3200.0,193840,Buy,24-Dec-2024,Market Purchase,NSE
EXCELLENT,Excellent Wires and Packaging Limited,Ankita Rachit Masalia,Promoter Group,3200.0,193840,Buy,24-Dec-2024,Market Purchase,NSE
UGARSUGAR,The Ugar Sugar Works Limited,CHANDAN SANJEEV SHIRGAOKAR,Key Managerial Personnel,126004.0,8599821,Buy,23-Dec-2024,Market Purchase,NSE
SFL,Sheela Foam Limited,Rahul Gautam,Promoters,500.0,479227,Buy,-,Market Purchase,NSE
20MICRONS,20 Microns Limited,IONIX ADVANCED MATERIALS PRIVATE LIMITED,Promoter Group,5000.0,1145000,Buy,24-Dec-2024,Market Purchase,NSE
SDBL,Som Distilleries & Breweries Limited,NAKUL KAM SETHI,Key Managerial Personnel,2000.0,213440,Buy,24-Dec-2024,Market Purchase,NSE
YASHOPTICS,Yash Optics & Lens Limited,TARUN MANHARLAL DOSHI,Promoters,1600.0,139920,Buy,24-Dec-2024,Market Purchase,NSE
YASHOPTICS,Yash Optics & Lens Limited,CHIRAG MANHARLAL DOSHI,Promoters,1600.0,137200,Buy,24-Dec-2024,Market Purchase,NSE
SFL,Sheela Foam Limited,Rahul Gautam,Promoters,7000.0,6637470,Buy,-,Market Purchase,NSE
RPGLIFE,RPG Life Sciences Limited,Nucleus Life Trust,Promoter Group,874.0,1900269,Buy,23-Dec-2024,Market Purchase,NSE
RPGLIFE,RPG Life Sciences Limited,Nucleus Life Trust,Promoter Group,2012.0,4417107,Buy,20-Dec-2024,Market Purchase,NSE
RPGLIFE,RPG Life Sciences Limited,Nucleus Life Trust,Promoter Group,10.0,21960,Buy,20-Dec-2024,Market Purchase,BSE
RPGLIFE,RPG Life Sciences Limited,Nucleus Life Trust,Promoter Group,10.0,21700,Buy,23-Dec-2024,Market Purchase,BSE
NAVA,NAVA LIMITED,V9 AVENUES PRIVATE LIMITED,Promoter Group,5000.0,4928531,Buy,23-Dec-2024,Market Purchase,NSE
NAVA,NAVA LIMITED,AV Dwellings Private Limited,Promoter Group,5000.0,4954529,Buy,23-Dec-2024,Market Purchase,NSE
SREEL,Sreeleathers Limited,SOHAM DEY,Promoter Group,96000.0,24437053,Buy,23-Dec-2024,Market Purchase,BSE
PKTEA,The Peria Karamalai Tea & Produce Company Limited,PLACID LIMITED,Promoters,5997.0,4543540,Buy,17-Dec-2024,Market Purchase,NSE
FAIRCHEMOR,Fairchem Organics Limited,FIH Private Investments Ltd,Promoter Group,20000.0,25452004,Buy,23-Dec-2024,Market Purchase,NSE
GULPOLY,Gulshan Polyols Limited,RAHUL JAIN,Promoter Group,20000.0,3576600,Buy,23-Dec-2024,Market Purchase,NSE
KECL,Kirloskar Electric Company Limited,VIJAY R KIRLOSKAR,Promoters,5000.0,898352,Buy,23-Dec-2024,Market Purchase,NSE
YASHOPTICS,Yash Optics & Lens Limited,DHARMENDRA MANHARLAL DOSHI,Promoters,1600.0,141760,Buy,23-Dec-2024,Market Purchase,NSE
YASHOPTICS,Yash Optics & Lens Limited,CHIRAG MANHARLAL DOSHI,Promoters,11200.0,982320,Buy,23-Dec-2024,Market Purchase,NSE
YASHOPTICS,Yash Optics & Lens Limited,TARUN MANHARLAL DOSHI,Promoters,3200.0,281600,Buy,23-Dec-2024,Market Purchase,NSE
ALMONDZ,Almondz Global Securities Limited,RAKAM INFRASTRUCTURES PVT LTD,Promoter Group,116767.0,3765736,Buy,23-Dec-2024,Market Purchase,NSE
SNOWMAN,Snowman Logistics Limited,GATEWAY DISTRIPARKS LIMITED,Promoters,104118.0,7266583,Buy,20-Dec-2024,Market Purchase,NSE
SNOWMAN,Snowman Logistics Limited,GATEWAY DISTRIPARKS LIMITED,Promoters,630928.0,45433315,Buy,23-Dec-2024,Market Purchase,NSE
FAIRCHEMOR,Fairchem Organics Limited,FIH Private Investments Ltd,Promoter Group,59.0,67288,Buy,20-Dec-2024,Market Purchase,NSE
FAIRCHEMOR,Fairchem Organics Limited,FIH Private Investments Ltd,Promoter Group,4392.0,4972991,Buy,19-Dec-2024,Market Purchase,NSE
FAIRCHEMOR,Fairchem Organics Limited,FIH Private Investments Ltd,Promoter Group,20000.0,24598470,Buy,19-Dec-2024,Market Purchase,NSE
FAIRCHEMOR,Fairchem Organics Limited,FIH Private Investments Ltd,Promoter Group,20500.0,24804487,Buy,20-Dec-2024,Market Purchase,NSE
SHAKTIPUMP,Shakti Pumps (India) Limited,Shakti Brothers Trust,Promoters,4000.0,3760250,Buy,23-Dec-2024,Market Purchase,NSE
UGARSUGAR,The Ugar Sugar Works Limited,SOHAN SANJEEV SHIRGAOKAR,Key Managerial Personnel,36185.0,2608757,Buy,21-Nov-2024,Market Purchase,NSE
SILVERTUC,Silver Touch Technologies Limited,Vipul Thakkar,Promoters,150.0,101400,Buy,13-Dec-2024,Market Purchase,BSE
20MICRONS,20 Microns Limited,IONIX ADVANCED MATERIALS PRIVATE LIMITED,Promoter Group,2500.0,582900,Buy,23-Dec-2024,Market Purchase,NSE
POONAWALLA,Poonawalla Fincorp Limited,RISING SUN HOLDINGS PRIVATE LIMITED,Promoters,400000.0,128366022,Buy,20-Dec-2024,Market Purchase,NSE
INDGN,Indegene Limited,Sanjay Suresh Parikh,Employees/Designated Employees,16500.0,10007649,Buy,20-Dec-2024,Market Purchase,NSE
INDGN,Indegene Limited,Rajesh Bhaskaran Nair,Employees/Designated Employees,25000.0,14956597,Buy,23-Dec-2024,Market Purchase,NSE
HITECH,Hi-Tech Pipes Limited,"MANOJ KUMAR GUPTA, TRUSTEE HI-TECH PIPES EMPLOYEES WELFARE TRUST",Other,50000.0,8018000,Buy,18-Dec-2024,Market Purchase,NSE
ORIENTBELL,Orient Bell Limited,Mahendra K Daga,Promoters,1199.0,389665,Buy,20-Dec-2024,Market Purchase,NSE
REXPIPES,Rex Pipes And Cables Industries Limited,MRS. SUMAN GADWAL,Promoter Group,2000.0,152000,Buy,09-Dec-2024,Market Purchase,-
REXPIPES,Rex Pipes And Cables Industries Limited,MRS. SUMAN GADWAL,Promoter Group,2000.0,154000,Buy,23-Dec-2024,Market Purchase,NSE
REXPIPES,Rex Pipes And Cables Industries Limited,MRS. SUMAN GADWAL,Promoter Group,2000.0,152000,Buy,09-Dec-2024,Market Purchase,-
ALMONDZ,Almondz Global Securities Limited,RAKAM INFRASTRUCTURES PVT LTD,Promoter Group,149000.0,4916578,Buy,20-Dec-2024,Market Purchase,NSE
MDL,Marvel Decor Limited,Ashok Ramniklal Paun,Promoters,8000.0,1050000,Buy,19-Dec-2024,Market Purchase,NSE
MDL,Marvel Decor Limited,Ashok Ramniklal Paun,Promoters,2000.0,263000,Buy,19-Dec-2024,Market Purchase,NSE
MDL,Marvel Decor Limited,Ashok Ramniklal Paun,Promoters,5000.0,660000,Buy,19-Dec-2024,Market Purchase,NSE
MDL,Marvel Decor Limited,Ashok Ramniklal Paun,Promoters,32000.0,4192000,Buy,19-Dec-2024,Market Purchase,NSE
MBAPL,Madhya Bharat Agro Products Limited,Pankaj Ostwal,Promoters,16191.0,3532844,Buy,19-Dec-2024,Market Purchase,NSE
KRISHANA,Krishana Phoschem Limited,Pankaj Ostwal,Promoters,25923.0,5302652,Buy,19-Dec-2024,Market Purchase,NSE
KRISHANA,Krishana Phoschem Limited,PRAVEEN  OSTWAL,Promoters,1014.0,205123,Buy,20-Dec-2024,Market Purchase,NSE
KRISHANA,Krishana Phoschem Limited,PRAVEEN  OSTWAL,Promoters,31584.0,6416001,Buy,18-Dec-2024,Market Purchase,NSE
NCLIND,NCL Industries Limited,Kakatiya Industries (P) Ltd,Promoter Group,2000.0,438000,Buy,20-Dec-2024,Market Purchase,NSE
RPGLIFE,RPG Life Sciences Limited,Nucleus Life Trust,Promoter Group,500.0,1116500,Buy,18-Dec-2024,Market Purchase,NSE
RPGLIFE,RPG Life Sciences Limited,Nucleus Life Trust,Promoter Group,249.0,547105,Buy,19-Dec-2024,Market Purchase,NSE
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,Bharat Puri,Director,4000.0,3639448,Buy,18-Dec-2024,Market Purchase,NSE
ECLERX,eClerx Services Limited,Eclerx Employee Welfare Trust,Other,2943.0,10947222,Buy,19-Dec-2024,Market Purchase,NSE
KECL,Kirloskar Electric Company Limited,VIJAY R KIRLOSKAR,Promoters,10000.0,1912052,Buy,19-Dec-2024,Market Purchase,NSE
DIVISLAB,Divi's Laboratories Limited,P. Rama Sekhar,Employees/Designated Employees,500.0,3002870,Buy,09-Dec-2024,Market Purchase,NSE
ECLERX,eClerx Services Limited,Eclerx Employee Welfare Trust,Other,2918.0,10949165,Buy,18-Dec-2024,Market Purchase,NSE
FAIRCHEMOR,Fairchem Organics Limited,FIH PRIVATE INVESTMENTS LTD.,Promoter Group,19967.0,22772145,Buy,18-Dec-2024,Market Purchase,NSE
NECLIFE,Nectar Lifesciences Limited,RAMAN GOYAL,Promoter Group,400000.0,17748000,Buy,19-Dec-2024,Market Purchase,NSE
KMEW,Knowledge Marine & Engineering Works Limited,Sujay Mohanlal Kewalramani,Promoter Group,638.0,1366915,Buy,19-Dec-2024,Market Purchase,NSE
HITECH,Hi-Tech Pipes Limited,"MANOJ KUMAR GUPTA, TRUSTEE HI-TECH PIPES EMPLOYEES WELFARE TRUST",Other,15000.0,2463300,Buy,13-Dec-2024,Market Purchase,NSE
ECLERX,eClerx Services Limited,Eclerx Employee Welfare Trust,Other,2862.0,10947132,Buy,17-Dec-2024,Market Purchase,NSE
BIGBLOC,Bigbloc Construction Limited,NARAYAN SITARAM SABOO(HUF),Promoter Group,50000.0,5405400,Buy,17-Dec-2024,Market Purchase,NSE
FAIRCHEMOR,Fairchem Organics Limited,FIH Private Investments Ltd,Promoter Group,185582.0,210131547,Buy,17-Dec-2024,Market Purchase,NSE
INDGN,Indegene Limited,Rajesh Bhaskaran Nair,Director,100000.0,59580954,Buy,17-Dec-2024,Market Purchase,NSE
RPGLIFE,RPG Life Sciences Limited,Nucleus Life Trust,Promoter Group,330.0,743837,Buy,17-Dec-2024,Market Purchase,NSE
RPGLIFE,RPG Life Sciences Limited,Nucleus Life Trust,Promoter Group,200.0,454010,Buy,16-Dec-2024,Market Purchase,NSE
ORIENTBELL,Orient Bell Limited,Mahendra K Daga,Promoters,6683.0,2215548,Buy,17-Dec-2024,Market Purchase,NSE
PKTEA,The Peria Karamalai Tea & Produce Company Limited,PLACID LIMITED,Promoter Group,3466.0,2502001,Buy,16-Dec-2024,Market Purchase,NSE
KMEW,Knowledge Marine & Engineering Works Limited,Sujay Mohanlal Kewalramani,Promoter Group,625.0,1374375,Buy,18-Dec-2024,Market Purchase,NSE
SREEL,Sreeleathers Limited,SOHAM DEY,Promoter Group,57000.0,14979875,Buy,17-Dec-2024,Market Purchase,NSE
TOKYOPLAST,Tokyo Plast International Limited,Priti Haresh Shah,Promoter Group,100.0,12500,Buy,17-Dec-2024,Market Purchase,BSE
TOKYOPLAST,Tokyo Plast International Limited,Priti Haresh Shah,Promoter Group,22365.0,2787923,Buy,28-Dec-2024,Market Purchase,NSE
TARMAT,Tarmat Limited,Jerry Varghese,Promoters,6050.0,500528,Buy,17-Dec-2024,Market Purchase,NSE
SALZERELEC,Salzer Electronics Limited,R DORAISWAMY,Promoters,730.0,1009700,Buy,17-Dec-2024,Market Purchase,NSE
SFL,Sheela Foam Limited,Tushaar Gautam,Promoters,13500.0,12982964,Buy,-,Market Purchase,NSE
PKTEA,The Peria Karamalai Tea & Produce Company Limited,PLACID LIMITED,Promoter Group,2481.0,1743485,Buy,12-Dec-2024,Market Purchase,NSE
ECLERX,eClerx Services Limited,Eclerx Employee Welfare Trust,Other,2878.0,10948522,Buy,13-Dec-2024,Market Purchase,NSE
BHARTIARTL,Bharti Airtel Limited,BHARTI AIRTEL EMPLOYEES WELFARE TRUST,Other,189000.0,302397618,Buy,12-Dec-2024,Market Purchase,NSE
BHARTIARTL,Bharti Airtel Limited,BHARTI AIRTEL EMPLOYEES WELFARE TRUST,Other,377000.0,598595726,Buy,10-Dec-2024,Market Purchase,NSE
